,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,season,type
28,Los Angeles Lakers,82,26,56,0.317,3941,8575,3224,7164,45,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,1520,-564,2016-17,Entire_Game
29,Phoenix Suns,82,24,58,0.293,3966,8831,3270,7260,45,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,1822,-462,2016-17,Entire_Game
30,Brooklyn Nets,82,20,62,0.244,3951,8673,3102,6987,44.4,877,2591,33.8,1592,2020,78.8,721,2879,3600,1756,1356,593,387,457,1726,1671,-552,2016-17,Entire_Game
1,Atlanta Hawks,5,5,0,1,40,96,28,68,41.2,9,25,36,31,41,75.6,11,25,36,16,7,5,3,5,16,32,15,2016-17,OT
1,Houston Rockets,3,3,0,1,20,48,13,27,48.1,5,15,33.3,17,20,85,4,17,21,7,4,2,1,0,11,14,11,2016-17,OT
1,Los Angeles Lakers,1,1,0,1,5,21,6,8,75,1,1,100,8,10,80,1,5,6,4,0,1,0,1,1,6,11,2016-17,OT
4,Oklahoma City Thunder,5,4,1,0.8,25,62,19,51,37.3,2,17,11.8,22,26,84.6,12,31,43,5,6,2,1,2,13,17,21,2016-17,OT
4,San Antonio Spurs,5,4,1,0.8,25,60,20,47,42.6,8,13,61.5,12,20,60,9,20,29,14,6,5,1,3,11,19,17,2016-17,OT
6,Detroit Pistons,4,3,1,0.75,25,54,22,44,50,7,16,43.8,3,7,42.9,4,17,21,7,5,4,2,4,10,8,11,2016-17,OT
6,Toronto Raptors,4,3,1,0.75,20,43,12,31,38.7,3,11,27.3,16,21,76.2,3,21,24,3,5,0,1,1,14,15,1,2016-17,OT
8,Memphis Grizzlies,7,5,2,0.714,45,94,30,71,42.3,9,28,32.1,25,33,75.8,10,36,46,16,11,6,8,3,25,26,22,2016-17,OT
9,Boston Celtics,3,2,1,0.667,15,35,10,25,40,3,12,25,12,14,85.7,3,12,15,6,4,1,0,1,11,9,3,2016-17,OT
9,Indiana Pacers,6,4,2,0.667,35,82,28,60,46.7,9,20,45,17,22,77.3,6,17,23,15,5,10,8,3,13,18,15,2016-17,OT
9,Miami Heat,3,2,1,0.667,20,54,20,37,54.1,3,7,42.9,11,16,68.8,4,16,20,7,4,0,3,3,16,11,9,2016-17,OT
9,Utah Jazz,3,2,1,0.667,15,32,10,29,34.5,3,9,33.3,9,18,50,11,14,25,2,4,0,0,1,10,11,-1,2016-17,OT
13,Washington Wizards,7,4,3,0.571,35,78,23,70,32.9,10,30,33.3,22,24,91.7,14,23,37,12,7,4,4,5,21,18,-6,2016-17,OT
14,Brooklyn Nets,2,1,1,0.5,15,30,12,26,46.2,1,10,10,5,11,45.5,3,11,14,3,3,2,1,0,7,7,1,2016-17,OT
14,Chicago Bulls,4,2,2,0.5,20,52,15,42,35.7,4,15,26.7,18,20,90,9,13,22,4,1,3,1,1,12,14,6,2016-17,OT
14,Dallas Mavericks,4,2,2,0.5,20,39,15,35,42.9,3,14,21.4,6,9,66.7,2,13,15,5,4,4,1,0,15,12,4,2016-17,OT
14,LA Clippers,2,1,1,0.5,15,26,10,30,33.3,1,4,25,5,9,55.6,7,10,17,3,2,4,1,0,6,6,-2,2016-17,OT
14,Orlando Magic,4,2,2,0.5,25,52,11,39,28.2,3,14,21.4,27,33,81.8,4,19,23,9,4,0,2,4,16,23,-5,2016-17,OT
14,Phoenix Suns,6,3,3,0.5,30,67,27,57,47.4,2,17,11.8,11,16,68.8,6,23,29,4,8,5,2,2,23,14,-5,2016-17,OT
20,Portland Trail Blazers,9,4,5,0.444,50,111,38,87,43.7,7,21,33.3,28,32,87.5,11,30,41,20,12,1,5,5,21,27,-3,2016-17,OT
21,Cleveland Cavaliers,7,3,4,0.429,40,108,33,74,44.6,14,32,43.8,28,31,90.3,14,32,46,17,12,3,2,4,22,25,5,2016-17,OT
22,Minnesota Timberwolves,5,2,3,0.4,25,63,22,46,47.8,5,16,31.3,14,16,87.5,5,16,21,13,7,2,6,1,20,15,-9,2016-17,OT
23,New Orleans Pelicans,8,3,5,0.375,45,86,28,79,35.4,3,23,13,27,36,75,10,36,46,14,11,9,2,3,23,25,-5,2016-17,OT
24,Milwaukee Bucks,4,1,3,0.25,20,28,8,29,27.6,4,18,22.2,8,12,66.7,2,15,17,4,8,1,1,0,14,9,-18,2016-17,OT
24,New York Knicks,4,1,3,0.25,35,67,25,64,39.1,10,26,38.5,7,11,63.6,7,25,32,11,9,3,8,3,23,12,-7,2016-17,OT
24,Sacramento Kings,8,2,6,0.25,40,70,22,63,34.9,5,13,38.5,21,26,80.8,6,19,25,9,9,3,4,6,22,19,-26,2016-17,OT
27,Philadelphia 76ers,5,1,4,0.2,30,50,14,49,28.6,5,15,33.3,17,19,89.5,8,21,29,6,12,2,4,10,22,17,-17,2016-17,OT
28,Charlotte Hornets,6,0,6,0,30,55,21,54,38.9,4,21,19,9,13,69.2,2,22,24,15,7,0,5,5,15,11,-24,2016-17,OT
28,Denver Nuggets,3,0,3,0,15,25,8,28,28.6,1,14,7.1,8,9,88.9,2,16,18,4,3,0,0,2,12,7,-7,2016-17,OT
28,Golden State Warriors,3,0,3,0,20,30,10,36,27.8,3,20,15,7,9,77.8,6,10,16,6,5,4,1,0,11,9,-17,2016-17,OT
1,Cleveland Cavaliers,2,2,0,1,10,24,9,18,50,3,8,37.5,3,4,75,1,11,12,4,0,1,2,2,5,3,7,2017-18,OT
1,Golden State Warriors,2,2,0,1,10,32,10,13,76.9,4,6,66.7,8,10,80,2,10,12,6,3,0,3,0,7,7,6,2017-18,OT
1,Houston Rockets,2,2,0,1,15,38,12,29,41.4,2,10,20,12,14,85.7,5,14,19,4,1,0,4,1,9,9,10,2017-18,OT
1,Indiana Pacers,3,3,0,1,15,41,13,20,65,5,8,62.5,10,11,90.9,3,11,14,4,3,0,4,0,3,8,20,2017-18,OT
1,Orlando Magic,2,2,0,1,10,25,8,16,50,1,7,14.3,8,11,72.7,3,11,14,3,1,1,0,1,5,9,13,2017-18,OT
1,Sacramento Kings,3,3,0,1,15,42,12,22,54.5,5,8,62.5,13,14,92.9,4,9,13,3,6,3,3,0,5,11,16,2017-18,OT
